a lot	a lot: adv. muito
put	 n 1 arremesso, lançamento. 2 Sports arremesso de peso. 3 (bolsa) operação a prazo. • vt+vi ps, pp put 1 pôr: a) colocar. b) reduzir a um estado ou condição. c) fixar, determinar. d) guardar. e) depositar. f) atribuir, imputar. g) adicionar, deitar. h) assinar, apor. i) expressar, afirmar. j) dedicar-se a. k) aplicar. l) impor ônus a. m) firmar, assentar. 2 formular, propor. 3 seguir, rumar. 4 avaliar, orçar. 5 incitar. 6 lançar à água (navio). 7 forçar, obrigar. 8 arremessar, lançar. 9 apostar. 10 investir. 11 adaptar. 12 traduzir. • adj no lugar, fixado, fixo, parado. he puts the distance at eight miles ele avalia a distância em oito milhas. how shall I put it? como direi? if I may put my two cents in se eu posso dar um conselho, um palpite. if one puts it upon that ground considerando-o deste ponto de vista. I put him on guard eu o preveni. I put it to you deixo-o a seu critério. she put him down to it ela lhe confiou (segredo, novidade). she put him down to it ela lhe confiou (segredo, novidade). she put him on his oath ela o fez jurar. stay put! não se mova! they put their heads together eles confabularam. to put about 1 publicar ou circular. 2 mudar o curso, o rumo. 3 espalhar (boato). to put a bug in one’s ear deixar alguém com a pulga atrás da orelha. to put across 1 conseguir explicar algo. 2 levar a cabo. I just can’t put it across / não consigo mesmo levá-lo a cabo. to put a flea in one’s ear deixar alguém com a pulga atrás da orelha. to put ahead avançar, adiantar. to put an end to pôr fim em, acabar, encerrar. he put an end to his life / ele deu cabo da vida. he put an end to the matter / ele encerrou o assunto. to put a question levantar uma questão. to put aside 1 pôr de lado (para fazer uma outra coisa). 2 não dar importância. to put away 1 pôr de lado. 2 descartar, dispor de. 3 guardar, economizar. 4 guardar, colocar no devido lugar. 5 divorciar. 6 matar um animal velho ou doente. 7 confinar, prender. 8 comer. to put back 1 adiar. 2 atrasar. 3 repelir. 4 recusar, negar. 5 repor, recolocar. 6 Naut voltar, regressar. 7 atrasar o relógio. to put by 1 guardar, economizar. 2 pôr de lado. 3 armazenar. 4 rejeitar, recusar. 5 livrar-se de. 6 desviar, esquivar. to put down 1 criticar alguém na frente de outras pessoas, humilhar. 2 dar uma quantia de dinheiro como entrada. 3 anotar, inscrever, registrar (no papel). 4 matar um animal velho ou doente. 5 parar o veículo para alguém descer. 6 Aeron aterrissar. 7 pôr a criança para dormir. 8 derrubar. 9 suprimir, eliminar. 10 rebaixar, degradar. 11 depor. 12 cortar, renunciar a. 13 atribuir. 14 estimar, considerar. 15 beber continuadamente. to put down for relacionar, pedir por escrito. to put for fazer uma tentativa para ganhar. to put forth 1 estender. 2 tornar manifesto. 3 desenvolver, tornar. 4 empregar, aplicar (força). 5 elevar, erguer (voz). 6 propor. 7 publicar, editar. 8 emprestar com juros. to put forward 1 promover, pôr em evidência. 2 fazer progredir, avançar. 3 propor, formular, apresentar. she put forward an argument / ela apresentou um argumento. to put in 1 consertar um equipamento doméstico. 2 gastar tempo e energia fazendo uma atividade. 3 interromper alguém. 4 introduzir, apresentar. 5 intercalar, encaixar. 6 interferir, intervir. 7 aportar. the ship put into the port / o navio entrou no porto. 8 eleger um político ou um partido político. to put in brackets/parentheses colocar entre parênteses. to put in for 1 requerer algo formalmente. 2 oferecer-se, candidatar-se. to put in mind lembrar. to put in possession 1 empossar, dar posse a. 2 informar, pôr a par de. to put in practice 1 pôr em ação. 2 praticar, fazer. to put into gear embrear. to put it on 1 fingir. 2 sobrecarregar. 3 exagerar. to put off 1 despir, tirar, descalçar. 2 adiar, protelar, transferir, postergar. 3 dissuadir. 4 usar de evasivas. 5 coll desconcertar, confundir. 6 desembarcar, pôr em terra (passageiros). 7 partir. 8 desencorajar, desanimar. 9 atrapalhar (o trabalho, a concentração de alguém). to put on 1 vestir, calçar. 2 assumir. 3 imputar, atribuir a. 4 impor, infligir. 5 incitar, instigar. 6 empregar, aplicar. 7 carregar no preço. 8 ganhar pressão. 9 fingir, simular. he puts on a big act / ele está fazendo fita. 10 apostar em. 11 adiantar (relógios). 12 antecipar. 13 coll representar, levar. to put on the ritz dar-se ares de riqueza, mostrar-se, exibir-se. to put on to 1 estar consciente de. 2 conectar-se com/ao telefone. to put one’s ass on the line vulg colocar-se em perigo, assumir a responsabilidade. to put one’s back into dedicar-se de corpo e alma a. to put one’s cards on the table colocar as cartas na mesa, fazer jogo franco. to put oneself in somebody’s place imaginar-se em lugar de alguém. to put one’s foot in one’s mouth meter os pés pelas mãos. to put one’s hands to the plow meter mãos à obra. to put one through the mill 1 sujeitar a disciplina rigorosa. 2 punir, castigar. to put on trial levar à barra do tribunal. to put out 1 expelir, lançar fora. 2 extinguir, aparar. 3 emprestar. 4 desconcertar, confundir. he was put by this news / esta notícia o desconcertou. 5 estender a mão. 6 exibir, mostrar. 7 publicar, editar. 8 gastar, despender. 9 dar para criar (criança). 10 pôr para fora. 11 dar para fora (roupa suja, etc.). 12 ir embora, partir, sair. 13 Med deslocar, distender. 14 Naut fazer-se ao mar. the ship put out to sea / o navio fez-se ao mar. 15 Sports pôr fora de jogo. 16 desfraldar (bandeira). to put out of action pôr fora de função ou ação. to put out of gear desengrenar. to put out of one’s head fazer esquecer. to put out of order pôr em desordem. to put out of the way 1 matar, eliminar. 2 destruir. to put over 1 colocar acima de. 2 conduzir através de, fazer transpor. 3 levar a cabo. 4 sl prevalecer, impor-se. he put himself over / ele conseguiu prevalecer. 5 comunicar. 6 iludir, tapear. to put somebody in a hole coll pôr alguém em dificuldades. to put somebody on the floor arrasar, fazer com que todos o apreciem, desbundar alguém. to put somebody through college/school financiar os estudos de alguém. she put him through college / ela lhe financiou os estudos. to put something into one’s head colocar, meter algo na cabeça. to put something over on someone fazer alguém crer. one can’t put anything over on him / ele não se deixa ludibriar. to put the bite on sl dar uma mordidinha, pedir dinheiro emprestado. to put the cart before the horse pôr a carroça diante dos bois. to put the pen to paper começar a escrever. she put the pen to the paper / ela começou a escrever. to put the screw to sl apertar, pressionar, agir coercivamente. to put the wind up 1 alarmar, alvoroçar. 2 alarmar-se. 3 tornar-se irritado ou excitado. to put the wood to sl castigar, coagir. to put through 1 levar a cabo. 2 conseguir a aprovação de lei. 3 fazer penetrar ou atravessar. 4 fazer agir. 5 coll fazer ligação telefônica. 6 forçar alguém a, obrigar alguém a. to put to 1 combinar, juntar, unir. 2 confiar a. 3 afixar a, prender a. 4 atrelar. he put the horses to the car / ele atrelou os cavalos. 5 limitar a. 6 expor a, sujeitar a. to put to a stand dar um paradeiro a. to put to bed pôr na cama, fazer deitar. to put to death matar, executar. the murderer was put to death / o assassino foi executado. to put to flight lançar em fuga. to put together 1 agregar. 2 juntar, reunir. to put to rights pôr em ordem, endireitar. to put to sea começar uma viagem, fazer-se ao mar. to put to shame fazer envergonhar. to put to silence silenciar, fazer calar. to put to sleep pôr na cama, fazer dormir. to put to the sword matar com a espada. to put to the vote submeter à votação. to put two and two together chegar, tirar conclusões. to put under the screw forçar, pressionar. to put up 1 levantar, alçar, içar, suspender, pendurar. 2 erigir, erguer, edificar. 3 montar (máquinas). 4 pôr em leilão. 5 levar à cena. 6 guardar, economizar. 7 pôr em conserva. 8 pôr de lado. 9 acolher, dar hospedagem a, acomodar. 10 designar candidato. 11 candidatar-se. 12 acondicionar, embrulhar. 13 sl tramar, conspirar. 14 aumentar, elevar (preços). 15 alojar-se, hospedar-se. 16 embainhar (espada). 17 cessar (luta). to put up a big stink Braz coll armar um salseiro, rodar a baiana. to put up to 1 instigar, incitar a. he put him up to it / ele o instigou a dizê-lo. 2 dar informações importantes. I’ll put it up to him / levá-lo-ei ao seu conhecimento. to put up with tolerar, agüentar, suportar. what would you put it at? em quanto você avalia isto?
putz	n vulg 1 pessoa detestável. 2 pobrezinho. 3 pinto, caralho, pênis.
pyaemia	 n Med piemia, pioemia.
pyrites	 n Min pirita.
qualification	 n 1 qualificação, classificação, qualidade. 2 requisito. 3 modificação, restrição. 4 aptidão, habilitação.
quality	 n 1 qualidade, propriedade. 2 condição, caráter. 3 posto, cargo. 4 dignidade. • adj Amer excelente, de primeira.
quantifiable	adj quantificável.
quantification	n quantificação.
quantitatively	adv quantitativa­mente.
quantity	 n quantidade, soma.
quarrellous	adj = quarrelous.
quarrelous	<p>= quarrelsome.</p>
quarter	 n 1 quarto, quarta parte, trimestre, quarto do ano, quarto da lua, quarto de hora, quarto da carcaça de um animal. 2 região ou parte da terra. 3 quarteirão. 4 quartel, alojamento de soldados e marinheiros. 5 quadrante. 6 medida de peso. 7 abrigo, quartel, refúgio, acolhida. 8 piedade, clemência. 9 moeda nos EUA ou Canadá que vale 25 centavos ou um quarto de dólar. 10 área de uma cidade onde um certo grupo de pessoas mora ou trabalha ou que tem características peculiares. • vt+vi 1 esquartejar. 2 aquartelar. 3 Her esquartelar. 4 repartir em quatro partes iguais. a quarter past six seis horas e quinze minutos. a quarter to three quinze para as três. at close quarters muito perto. hind quarter ancas, quarto traseiro. in this quarter nesta parte. quarters of a ship alhetas. to change quarter mudar-se.
quarterly	 n periódico publicado trimestralmente. • adj trimestral. • adv por trimestre.
queen	n 1 rainha, soberana. 2 Chess, Cards dama. 3 sl homossexual, Braz sl veado, bicha louca. • vt+vi 1 fazer rainha, coroar. 2 Game fazer dama. closet queen sl bicha enrustida. drag queen sl travesti. queen of hearts Cards dama de copas. Queen of Heaven Rainha do Céu (a Virgem Maria). queen of the meadow Bot rainha-dos-prados.
query	n 1 questão, pergunta. 2 dúvida. 3 ponto de interrogação. • vt 1 perguntar, indagar. 2 examinar, inquirir. 3 assinalar com ponto de interrogação.
question	 n 1 pergunta, questão. he did without question / ele o fez obedientemente, sem questionar. 2 inquérito, exame. 3 disputa, discussão, debate. 4 dúvida. I call it in question / tenho minhas dúvidas a respeito. 5 tese, assunto. • vt+vi 1 examinar, indagar, interrogar. 2 duvidar, desconfiar. 3 disputar, debater, altercar. at question questionável. beyond question sem dúvida. in question em questão, em consideração. it is a question of é uma questão de. out of question indubitavelmente, sem qualquer dúvida. question and answer column coluna em jornais e revistas que publica cartas de leitores e respostas da redação. that’s open to question isto é questão de opinião. the book in question o livro em questão. there is no question of doing it é impossível fazê-lo. to pop the question coll pedir em casamento.
quick	 n 1 arch ser vivo, carne viva, planta viva. he was cut to the quick / ele foi atingido ou ferido na carne, até o âmago. 2 sabugo (do dedo). • adj 1 vivo, ligeiro, rápido. she is quick of foot / ela é veloz. 2 ativo, vivaz. 3 intenso. 4 apressado, impaciente. he has a quick temper / ele tem um pavio curto, fica nervoso facilmente. 5 sagaz, penetrante. he is quick on the uptake / ele pega, entende as coisas rapidamente. • adv (também quickly). 1 rapidamente, depressa. 2 prontamente. he is quick at learning / ele aprende rapidamente. a quick one = quickie. quick as a flash rápido como um corisco. quick march marcha forçada. quick on the draw rápido na resposta, rápido no gatilho. quick time tempo de marcha de 4 milhas horárias. the quick os vivos. to the quick até à medula.
quickly	adv = quick.
quickstep	 n 1 dança de salão de passos rápidos. 2 música que se dança com passos rápidos. 3 Mil passo acelerado.
quiet	 n quietude, sossego, tranqüilidade. • vt+vi aquietar, acalmar, tranqüilizar. • adj 1 quieto, imóvel. 2 calmo, sossegado, pacífico. 3 secreto. 4 reservado, comedido, discreto. at quiet em paz. on the quiet secretamente. to keep something quiet manter algo em segredo. to quiet down acalmar.
quietism	 n Rel quietismo.
quietly	adv calmamente, quietamente.
quiff	 n mecha de cabelos. n sl mulher promíscua, prostituta.
quin	n vulg vulva ou vagina, Braz, vulg boceta. n um dos quíntuplos (cinco bebês nascidos ao mesmo tempo da mesma mãe).
quint	 abbr n pl quintuplet (quíntuplos).
quite a lot	quite a lot: adv. bastante
quotation	 n 1 cotação, citação, oferta. 2 orçamento para a realização de um serviço.
quote	n cotação, citação. • vt+vi 1 citar, notar. 2 cotar.
rabbit	 n 1 coelho. 2 pele de coelho. 3 sl indivíduo atrapalhado, desajeitado em jogos ou divertimentos ao ar livre. 4 pessoa tímida. 5 pessoa insignificante, sem importância. • vi 1 caçar coelhos. 2 limpar uma área de coelhos. 3 falar bobagem, matraquear. she is rabbiting on / ela não pára de matraquear, falar abobrinhas. doe-rabbit fêmea do coelho. Welsh rabbit torrada com queijo derretido.
rabies	 n hidrofobia, raiva.
race	 n 1 corrida, carreira, qualquer competição de velocidade. 2 competição, rivalidade. 3 corrente de água. 4 movimento rápido, arremetida. 5 canal de um rio. 6 curso, decurso da vida. 7 canal, canalete. 8 Mech corrediça (de rolamento). • vt+vi 1 competir ou fazer competir numa corrida, disputar. 2 correr, fazer correr, mover-se rapidamente. 3 correr numa disparada (motores, rodas, a hélice de um barco quando este é retirado da água, etc.). 4 bater fortemente (coração). a race against time corrida contra o tempo. auto race corrida automobilística. horse race corrida de cavalos. mill race calha de moinho, calha de adução. rat race corrida de ratos, competição exagerada. sprint race, speed race corrida de velocidade. to race away perder tudo nas corridas. to run a race participar de uma corrida. yacht race corrida de iates.   n 1 raça humana. 2 estirpe, gênero, espécie. 3 descendência, prole. 4 família, tribo, gente, povo. 5 linhagem, geração, genealogia. 6 classe.
